City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Sechura,PE,61.97,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
309,Jalu,LY,82.72,clear sky,29.0331,21.5482,صاحبة الفخامة
310,Dargaville,NZ,61.18,light rain,-35.9333,173.8833,Parkview Motel
311,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
313,Kibala,TD,70.11,overcast clouds,9.1104,18.3463,Prasant Hotels
315,Ixtapa,MX,81.63,few clouds,20.7,-105.2,hotel la terminal
316,Touros,BR,76.08,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
318,Port Blair,IN,83.19,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
320,Grand-Santi,GF,73.42,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
322,Ilorin,NG,73.76,light rain,8.5,4.55,SITY INN
325,Lagoa,PT,67.78,broken clouds,39.05,-27.9833,Casa Das Faias
326,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
329,Arak,IR,73.87,clear sky,34.0917,49.6892,Zagros Hotel
331,Mentougou,CN,79.74,clear sky,39.9392,116.0917,北京京西晨光饭店
333,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
335,Guerrero Negro,MX,72.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
338,Mishan,CN,76.48,broken clouds,45.55,131.8833,Mishan Hotel
339,Magole,TZ,71.69,scattered clouds,-6.3667,37.3667,Juma lubelwa
340,Praia Da Vitoria,PT,65.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
344,Brownsville,US,71.55,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
345,Cradock,ZA,65.62,light rain,-32.1642,25.6192,Die Hoekhuis
349,Belmonte,BR,72.36,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
352,Santa Cruz De La Palma,ES,69.94,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
354,Cambrils,ES,65.71,clear sky,41.0748,1.0524,Sol Port Cambrils
355,Arkhipo-Osipovka,RU,68.23,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
356,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
358,Tautira,PF,77.92,clear sky,-17.7333,-149.15,Pension Oaoa
359,Eyl,SO,81.39,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
361,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
362,Tecoanapa,MX,77.58,overcast clouds,16.5167,-98.75,Hotel Manglares
364,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
366,Saint-Joseph,RE,74.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
367,Noumea,NC,82.38,light rain,-22.2763,166.4572,Hôtel Le Lagon
372,Sao Jose Da Coroa Grande,BR,73.83,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
374,Birjand,IR,66.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
376,Fortuna,US,60.91,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
377,Aksu,CN,73.76,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
381,Aleksandrov Gay,RU,62.17,overcast clouds,50.147,48.5704,Gostinitsa
382,Tawau,MY,87.93,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
386,Mount Gambier,AU,62.46,scattered clouds,-37.8333,140.7667,The Commodore
387,Izumo,JP,80.49,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
388,Niquero,CU,78.35,overcast clouds,20.0431,-77.5828,Islazul Niquero
390,Carauari,BR,73.98,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
393,Tete,MZ,71.69,smoke,-16.1564,33.5867,Zambeze Paraíso Misterioso
395,Ladario,BR,63.59,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
396,El Tocuyo,VE,69.94,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
398,Beyneu,KZ,64.11,overcast clouds,45.3167,55.2,NUR
400,Lucapa,AO,64.87,overcast clouds,-8.4192,20.7447,Lírio Mendes
402,Lake City,US,65.91,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
403,Mindelo,CV,80.15,scattered clouds,16.8901,-24.9804,Hotel Gaudi
408,Sao Felix Do Xingu,BR,74.3,few clouds,-6.6447,-51.995,Rio Xingu Camping
410,Puerto Escondido,MX,77.85,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
412,Kharhial,IN,85.01,broken clouds,20.2833,82.7667,Jeevan Chhaya
413,Esperance,AU,65.62,clear sky,-33.8667,121.9,Hospitality Esperance
414,Caravelas,BR,73.15,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
423,Vao,NC,74.95,light rain,-22.6667,167.4833,Hotel Kou-Bugny
425,Lorengau,PG,84.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Madarounfa,NE,76.75,light rain,13.3087,7.156,Madarounfa centre ville
427,Kirakira,SB,83.59,few clouds,-10.4544,161.9205,SanBiz Lodge
429,Caohai,CN,62.38,overcast clouds,26.8661,104.2841,Jinhua Hotel
430,Karaton,ID,87.67,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
431,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
432,Preobrazheniye,RU,69.08,clear sky,42.9019,133.9064,Campsite Orlan
434,Bambanglipuro,ID,81.57,overcast clouds,-7.95,110.2833,Puri Brata
435,Sao Joao Da Barra,BR,67.5,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
436,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
438,Erenhot,CN,69.21,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
439,Pacific Grove,US,64.02,clear sky,36.6177,-121.9166,Lovers Point Inn
440,Owando,CG,69.33,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
443,Colares,PT,60.48,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
444,Natchez,US,61.02,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
446,Champerico,GT,77.41,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
450,Save,BJ,71.53,overcast clouds,8.0425,2.486,Le Cercle du Rail
453,Bathsheba,BB,79.41,thunderstorm,13.2167,-59.5167,Atlantis Hotel
460,Kununurra,AU,87.78,light rain,-15.7667,128.7333,Hotel Kununurra
461,Ipu,BR,72.03,scattered clouds,-4.3222,-40.7108,Our hostel Corner
462,Jimo,CN,78.58,scattered clouds,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
464,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
466,Shahrud,IR,75.76,clear sky,36.4182,54.9763,Royal Hotel
469,Dicabisagan,PH,85.46,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
474,Itacare,BR,70.7,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
475,Labis,MY,86.09,overcast clouds,2.385,103.021,Labis Sunrise Farm
478,Tomatlan,MX,75.97,overcast clouds,19.9333,-105.25,El Salvial
479,Benghazi,LY,81.7,scattered clouds,32.1167,20.0667,Tibesti Hotel
481,Santeramo In Colle,IT,67.57,clear sky,40.793,16.7553,B&B Casa dei Lillà
482,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
484,Sorso,IT,61.29,moderate rain,40.8,8.5772,Casa vacanza-Antico Casolare Sorso
485,Fengcheng,CN,69.82,overcast clouds,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
486,Kieta,PG,85.24,clear sky,-6.2167,155.6333,Uruna Bay Retreat
488,Nelson Bay,AU,68.05,few clouds,-32.7167,152.15,Mantra Nelson Bay
489,Kendari,ID,87.35,scattered clouds,-3.945,122.4989,Hotel Wixel
490,Huejuquilla El Alto,MX,65.19,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
