City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Blonie,PL,52.1985,20.6171,44.19,99,97,4.92,overcast clouds
223,Fukuma,JP,33.7667,130.4667,87.3,63,0,7.18,clear sky
224,Lavrentiya,RU,65.5833,-171.0,37.18,66,26,10.18,scattered clouds
225,Konya,TR,38.1667,32.5,53.08,59,0,2.8,clear sky
226,Bismarck,US,46.8083,-100.7837,64.87,59,0,10.36,clear sky
227,Alexandria,EG,31.2156,29.9553,77.29,65,0,7.25,clear sky
228,Beloha,MG,-25.1667,45.05,69.71,48,0,7.11,clear sky
229,Jiayuguan,CN,39.8167,98.3,74.01,16,31,7.45,scattered clouds
230,Flinders,AU,-34.5833,150.8552,63.05,85,69,15.3,light rain
231,Itaituba,BR,-4.2761,-55.9836,75.6,65,16,1.9,few clouds
232,Salinopolis,BR,-0.6136,-47.3561,79.11,79,100,9.89,overcast clouds
233,Quatre Cocos,MU,-20.2078,57.7625,73.09,66,57,13.18,broken clouds
234,Kavaratti,IN,10.5669,72.642,80.89,75,100,8.3,overcast clouds
235,Bambous Virieux,MU,-20.3428,57.7575,73.22,73,40,8.05,scattered clouds
236,Bronnoysund,NO,65.4625,12.1997,50.0,62,100,8.05,overcast clouds
237,Narsaq,GL,60.9167,-46.05,41.22,80,44,3.62,scattered clouds
238,Zilair,RU,52.2332,57.4392,33.15,98,100,12.03,light snow
239,Bengkulu,ID,-3.8004,102.2655,83.41,69,84,5.75,broken clouds
240,Padre Paraiso,BR,-17.0742,-41.4844,65.89,93,100,5.93,overcast clouds
241,The Valley,AI,18.217,-63.0578,82.09,79,100,15.97,overcast clouds
242,Mahebourg,MU,-20.4081,57.7,73.26,73,40,8.05,scattered clouds
243,Cabedelo,BR,-6.9811,-34.8339,74.07,80,99,10.36,overcast clouds
244,Namibe,AO,-15.1961,12.1522,66.87,92,23,2.68,few clouds
245,Ossora,RU,59.2353,163.0719,42.89,93,100,8.61,moderate rain
246,Podgornoye,RU,51.735,39.1496,48.42,100,100,6.71,mist
247,Plouzane,FR,48.3833,-4.6167,51.85,100,100,4.61,fog
248,Nagar Karnul,IN,16.4821,78.3247,75.18,87,100,5.35,overcast clouds
249,Ha Giang,VN,22.8333,104.9833,75.88,99,100,1.34,overcast clouds
250,Storforshei,NO,66.4043,14.5233,40.66,80,79,3.44,broken clouds
251,Qaanaaq,GL,77.484,-69.3632,15.53,73,86,7.87,overcast clouds
252,Sovetskiy,RU,61.3614,63.5842,29.79,57,9,3.67,clear sky
253,Gladstone,AU,-23.85,151.25,82.78,36,0,10.36,clear sky
254,Wittlich,DE,49.9833,6.8833,45.3,95,0,0.0,mist
255,Hervey Bay,AU,-25.2986,152.8535,72.01,53,0,8.12,clear sky
256,Chicama,PE,-7.8447,-79.1469,57.74,82,15,6.46,few clouds
257,Virginia Beach,US,36.8529,-75.978,67.01,80,100,26.46,overcast clouds
258,Shintomi,JP,32.0785,131.4723,78.12,65,6,6.6,clear sky
259,Itoman,JP,26.1247,127.6694,88.18,74,20,12.66,few clouds
260,Mudu,CN,31.252,120.5118,80.33,76,97,6.26,overcast clouds
261,Saint George,US,37.1041,-113.5841,80.94,38,0,9.22,clear sky
262,Cidreira,BR,-30.1811,-50.2056,60.73,71,99,15.17,overcast clouds
263,Bethel,US,41.3712,-73.414,53.96,83,0,3.44,clear sky
264,Hasaki,JP,35.7333,140.8333,84.29,60,1,13.06,clear sky
265,Sambava,MG,-14.2667,50.1667,68.09,78,82,8.86,light rain
266,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,29.93,moderate rain
267,Xam Nua,LA,20.4197,104.0439,70.48,98,100,1.92,overcast clouds
268,Anchorage,US,61.2181,-149.9003,49.93,92,100,6.91,light rain
269,Dzilam Gonzalez,MX,21.2833,-88.9333,76.03,69,70,6.51,broken clouds
270,Bintulu,MY,3.1667,113.0333,88.21,70,20,3.44,few clouds
271,Bubaque,GW,11.2833,-15.8333,78.42,81,100,7.61,moderate rain
272,Kuminskiy,RU,58.6667,66.5667,29.89,62,13,3.18,few clouds
273,Gari,RU,59.4307,62.3497,27.99,72,10,4.29,clear sky
274,Berbera,SO,10.4396,45.0143,87.53,62,40,0.07,scattered clouds
275,Jurbarkas,LT,55.0778,22.7664,42.48,96,25,6.33,scattered clouds
276,Jiaojiang,CN,28.6803,121.4428,90.0,69,90,8.16,overcast clouds
277,College,US,64.8569,-147.8028,48.52,71,75,0.0,broken clouds
278,Port Augusta,AU,-32.5,137.7667,69.96,36,87,7.34,overcast clouds
279,Lebu,CL,-37.6167,-73.65,49.62,94,12,12.39,few clouds
280,Ucluelet,CA,48.9329,-125.5528,59.09,92,15,2.75,few clouds
281,Lamia,GR,38.9,22.4333,66.11,67,12,4.16,few clouds
282,Iuna,BR,-20.3458,-41.5358,63.41,96,100,3.83,overcast clouds
283,Vitim,RU,59.4511,112.5578,37.54,45,9,5.03,clear sky
284,Saint-Georges,GD,12.0564,-61.7485,80.28,83,40,0.0,scattered clouds
285,Portland,US,45.5234,-122.6762,63.39,88,20,0.0,few clouds
286,Katobu,ID,-4.9408,122.5276,87.67,60,39,5.77,scattered clouds
287,Viedma,AR,-40.8135,-62.9967,58.44,38,5,16.75,clear sky
288,Muros,ES,42.7762,-9.0603,49.84,95,27,5.44,scattered clouds
289,Boyuibe,BO,-20.4167,-63.2833,57.76,64,100,3.91,light rain
290,Camacupa,AO,-12.0167,17.4833,59.52,75,56,3.27,broken clouds
291,Saint-Pierre,RE,-21.3393,55.4781,75.29,64,20,17.27,few clouds
292,Paamiut,GL,61.994,-49.6678,38.21,82,100,14.47,overcast clouds
293,Nanga Eboko,CM,4.6833,12.3667,64.92,99,55,1.01,broken clouds
294,Imbituba,BR,-28.24,-48.6703,58.48,75,95,5.39,overcast clouds
295,Norsup,VU,-16.0667,167.3833,82.17,64,1,11.32,clear sky
296,Cockburn Town,TC,21.4612,-71.1419,81.23,74,1,9.19,clear sky
297,Kollam,IN,8.8833,76.6,80.08,78,100,8.37,overcast clouds
